resource,message_id,translated,notes
1155,2763,,
1155,2764,,
1155,2765,,
1155,2766,,
1155,2767,,shown 2 times
1155,2768,,
1155,2769,,
1155,2770,,
1155,2771,,
1155,280,,
1155,281,,
1155,282,,
1155,2773,Jessica <PART> entrou para o grupo.,
1155,2788,,
1155,2789,,
1155,2791,,
1155,2417,,
1155,2420,,
1155,2457,,
1155,2460,,
1155,2497,,
1155,2500,,
1155,2537,,
1155,2540,,
1155,2577,,
1155,2580,,
1155,2617,,
1155,2620,,
1155,2623,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
1155,2638,,
1155,2639,,
1155,2641,,
1155,2663,A alma de um guerreiro pesado emana da espada.,
1155,2669,"A materialização é impossível
sem a Silmeria...",
1155,2705,,
1155,2708,,
1155,2745,,
1155,2748,,
1155,1,Deserto de Sahma,not displayed by the event script
1155,2,Saída,not displayed by the event script
1155,3,,
1155,4,Sim,not displayed by the event script
1155,5,Não,not displayed by the event script
1155,13,,
1155,14,,not displayed by the event script
1155,15,,
1155,16,,
1155,17,,
1155,2666,Realizar a materialização?,not displayed by the event script
1155,2667,Sim,
1155,2668,Não,
1155,2750,,
1155,2751,,
1155,2812,,
1155,2827,,
1155,2828,,
1155,2830,,
1155,2846,,
1155,2849,,
