resource,message_id,translated,notes
319,2750,Jessica <PART> entrou para o grupo.,
319,2759,,
319,2764,,
319,2546,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
319,2555,,
319,2560,,
319,2586,A alma de um guerreiro pesado emana da espada.,
319,2592,"A materialização é impossível
sem a Silmeria...",
319,2589,Realizar a materialização?,not displayed by the event script
319,2590,Sim,not displayed by the event script
319,2591,Não,not displayed by the event script
319,2593,Ruínas da Floresta Crawsus,not displayed by the event script
319,2747,,
319,2748,,
319,2790,,
319,2799,,
319,2804,,
