resource,message_id,translated,notes
371,389,,
371,390,Jessica <PART> entrou para o grupo.,
371,394,,
371,252,,
371,253,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
371,257,,
371,292,A alma de um guerreiro leve emana da espada.,
371,299,"A materialização é impossível
sem a Silmeria...",
371,296,Realizar a materialização?,not displayed by the event script
371,297,Sim,not displayed by the event script
371,298,Não,not displayed by the event script
371,300,Palácio do Dragão Venerado,not displayed by the event script
371,386,,
371,387,Adquirido <PART> Union Plume,not displayed by the event script
371,388,,
371,429,,
371,430,,
371,434,,
