resource,message_id,translated,notes
243,394,Jessica <PART> entrou para o grupo.,
243,429,,
243,432,,
243,260,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
243,295,,
243,298,,
243,302,A alma de um feiticeiro emana do cajado.,
243,306,"A materialização é impossível
sem a Silmeria...",
243,303,Realizar a materialização?,not displayed by the event script
243,304,Sim,not displayed by the event script
243,305,Não,not displayed by the event script
243,307,Ruínas do Monte Serdberg,not displayed by the event script
243,434,,
243,469,,
243,472,,
