resource,message_id,translated,notes
579,393,Jessica <PART> entrou para o grupo.,
579,429,,
579,258,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
579,294,,
579,300,A alma de um feiticeiro emana do cajado.,
579,304,"A materialização é impossível
sem a Silmeria...",
579,301,Realizar a materialização?,not displayed by the event script
579,302,Sim,not displayed by the event script
579,303,Não,not displayed by the event script
579,305,Chateau Obsession,not displayed by the event script
579,391,,
579,433,,
579,469,,
