resource,message_id,translated,notes
29,41,,
29,42,,
29,52,,
29,43,,
29,49,,
29,46,,
29,44,,
29,48,,
29,51,,
29,54,,
29,55,,
29,47,,
29,50,,
29,56,,
29,57,,
29,53,,
29,45,,
29,58,,
29,59,,
29,60,,
29,61,,
29,62,,
29,64,,
29,65,,
29,70,,
29,72,,
29,2,,not displayed by the event script
29,4,,not displayed by the event script
29,5,,not displayed by the event script
29,8,,not displayed by the event script
29,10,,not displayed by the event script
29,11,,not displayed by the event script
29,12,,not displayed by the event script
29,13,,not displayed by the event script
29,14,,not displayed by the event script
29,15,,not displayed by the event script
29,16,,not displayed by the event script
29,17,,not displayed by the event script
29,22,,not displayed by the event script
29,23,,not displayed by the event script
29,24,,not displayed by the event script
29,25,,not displayed by the event script
29,26,,not displayed by the event script
29,27,,not displayed by the event script
29,28,,
29,29,,not displayed by the event script
29,30,,
29,31,,not displayed by the event script
29,33,,not displayed by the event script
29,34,,
29,37,,not displayed by the event script
29,73,,not displayed by the event script
29,74,,
29,75,,
29,76,,
29,2740,,
