resource,message_id,translated,notes
423,3,,
423,13,,
423,18,,
423,53,,
423,58,,
423,93,,
423,98,,
423,133,,
423,138,,
423,173,,
423,178,,
423,213,,
423,218,,
423,301,,
423,306,,
423,341,,
423,346,,
423,381,,
423,382,,
423,383,,
423,1,Floresta dos Espíritos,not displayed by the event script
423,2,Saída,not displayed by the event script
423,4,,
423,5,Sim,not displayed by the event script
423,6,Não,not displayed by the event script
423,386,,
423,387,,
423,388,,
423,389,,
423,390,,
423,395,,
