resource,message_id,translated,notes
599,393,Jessica <PART> entrou para o grupo.,
599,416,,
599,419,,
599,258,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
599,281,,
599,284,,
599,299,A alma de uma arqueira emana do arco.,
599,304,"A materialização é impossível
sem a Silmeria...",
599,301,Realizar a materialização?,not displayed by the event script
599,302,Sim,not displayed by the event script
599,303,Não,not displayed by the event script
599,305,Mina de Turgen,not displayed by the event script
599,391,Adquirido <PART> Tônico de Anão,
599,433,,
599,456,,
599,459,,
