resource,message_id,translated,notes
49,5,"<Manual Tático>
 <PART>
Na batalha, as mãos do comandante detêm
tanto a vida quanto a morte. Vós que desejais comandar, gravai na memória estes segredos...",
49,6,"<Manual Tático>
 <PART>
Lembre-se sempre
A capacidade de comando determina
se os companheiros vivem ou morrem.",
49,7,"<Manual Tático>
 <PART> Alterações de Estado <PART>
Qualquer coisa pode acontecer em batalha, incluindo
alterações de estado. Lembre-se de que elas podem ser fatais
se não forem tratadas. <PART>
---
 <PART> <Manual Tático>
 <PART> Alterações de Estado <PART>
As alterações de estado abaixo ocorrem apenas
em batalha.

<Confusão>
A confusão impede o personagem de pensar
corretamente e, portanto, de atacar.
Use Normalize ou um item adequado
para curar essa condição.
Se não tiver meios de curá-la,
terá de esperar o efeito passar. <PART>
---
 <PART> <Manual Tático>
 <PART> Alterações de Estado <PART>
<Paralisia>
A paralisia causa dormência em todo
o corpo, impossibilitando o movimento.
Use Normalize ou um item adequado
para curar essa condição.
Se não tiver meios de curá-la,
terá de esperar o efeito passar. <PART>
---
 <PART> <Manual Tático>
 <PART> Alterações de Estado <PART>
<Petrificação>
As vítimas da petrificação tornam-se como estátuas,
totalmente incapazes de agir.
Use Normalize ou um item adequado
para curar essa condição.
Se não tiver meios de curá-la,
terá de esperar o efeito passar. <PART>
---
 <PART> <Manual Tático>
 <PART> Alterações de Estado <PART>
<Desmaio>
O desmaio causa perda de consciência,
deixando o personagem incapaz de agir.
Use Normalize ou um item adequado
para curar essa condição. Receber
um ataque também fará o personagem despertar. <PART>
---
 <PART> <Manual Tático>
 <PART> Alterações de Estado <PART>
<Transferência>
A transferência o expulsa à força do
campo de batalha, impedindo-o de se juntar aos
seus companheiros por certo tempo.
Não pode ser curada por Normalize.
Use um item adequado para curá-la. <PART>
---
 <PART> <Manual Tático>
 <PART> Alterações de Status <PART>
As alterações de status abaixo persistem mesmo
após a batalha.

<Veneno>
O veneno reduz o HP em intervalos
regulares.
Use Normalize ou um item adequado
para curar essa condição. <PART>
---
 <PART> <Manual Tático>
 <PART> Alterações de Status <PART>
<Silêncio>
O Silêncio impede o uso de magia, e certos
ataques inimigos também podem ser neutralizados.
Use Normalize ou um item adequado para curar
essa condição. <PART>
---
 <PART> <Manual Tático>
 <PART> Alterações de Status <PART>
<Maldição>
A Maldição impede a troca de equipamentos.
Use Normalize ou um item adequado para
curar essa condição. <PART>
---
 <PART> <Manual Tático>
 <PART> Alterações de Status <PART>
<Fragilidade>
A Fragilidade inibe a capacidade de
recuperação do corpo, tornando a cura impossível.
Não pode ser curada com Normalize.
Use um item adequado para curá-la. <PART>
---
 <PART> <Manual Tático>
 <PART> Alterações de Status <PART>
<Inconsciente>
Personagens inconscientes estão à
beira da morte. Use Invoke Feather
ou um item adequado para curar essa condição.


Certos acessórios podem prevenir essas alterações
de status, se você conseguir encontrá-los.",
49,11,"<Manual Tático>
<PART> Lançando Feitiços <PART>
Um verdadeiro feiticeiro sabe não apenas como lançar feitiços, mas também quando e onde. <PART>
---
<PART> <Manual Tático>
<PART> Lançando Feitiços <PART>
Normalmente, um personagem vai lançar um feitiço pré-definido para acelerar os ataques e trabalhar bem com os aliados. No entanto, sem tempo para o foco espiritual adequado, os alcances e efeitos desses feitiços não atingem todo o seu potencial. <PART>
---
<PART> <Manual Tático>
<PART> Lançando Feitiços <PART>
Para aumentar a força da própria magia, deve-se
permanecer parado, abrir o livro de feitiços com <PART> e
examinar a invocação a ser realizada.
No entanto, isso impede de se combinar com aliados.

Quanto ao método de ataque a usar, você precisará
aplicar seu conhecimento a cada situação. <PART>
---
<PART> <Manual Tático>
<PART> Lançando Feitiços <PART>
Existe Magia Grande neste mundo que supera
feitiços comuns. A Magia Grande pode aniquilar
vários inimigos de uma vez.

Mas inimigos também podem usá-la. Quando
atacado com Magia Grande, fique de olho no estado
das pessoas ao lado do personagem alvo.",
49,345,,
49,346,,
49,347,,
49,2223,,
49,2263,,
49,2303,,
