resource,message_id,translated,notes
361,387,Jessica <PART> entrou para o grupo.,
361,397,,
361,398,,
361,400,,
361,253,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
361,263,,
361,264,,
361,266,,
361,293,A alma de um guerreiro pesado emana da espada.,
361,299,"A materialização é impossível
sem a Silmeria...",
361,296,Realizar a materialização?,not displayed by the event script
361,297,Sim,not displayed by the event script
361,298,Não,not displayed by the event script
361,300,Palácio do Dragão Venerado,not displayed by the event script
361,427,,
361,437,,
361,438,,
361,440,,
