resource,message_id,translated,notes
253,415,Jessica <PART> entrou para o grupo.,
253,447,,
253,278,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
253,310,,
253,320,A alma de um feiticeiro emana do cajado.,
253,324,"A materialização é impossível
sem a Silmeria...",
253,321,Realizar a materialização?,not displayed by the event script
253,322,Sim,not displayed by the event script
253,323,Não,not displayed by the event script
253,325,Templo de Audoula no Lago,not displayed by the event script
253,411,,
253,412,,
253,413,,
253,455,,
253,487,,
