resource,message_id,translated,notes
313,2753,Jessica <PART> entrou para o grupo.,
313,2755,,
313,2760,,
313,2761,,
313,2548,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
313,2550,,
313,2555,,
313,2556,,
313,2587,A alma de um guerreiro leve emana da espada.,
313,2594,"A materialização é impossível
sem a Silmeria...",
313,2591,Realizar a materialização?,not displayed by the event script
313,2592,Sim,not displayed by the event script
313,2593,Não,not displayed by the event script
313,2595,Ruínas da Floresta Crawsus,not displayed by the event script
313,2749,,
313,2750,,
313,2751,,
313,2793,,
313,2795,,
313,2800,,
313,2801,,
