resource,message_id,translated,notes
339,9,,
339,396,Jessica <PART> entrou para o grupo.,
339,430,,
339,433,,
339,259,"Se houver alguma maneira de lhe ser útil,
será um prazer.",
339,293,,
339,296,,
339,301,A alma de um feiticeiro emana do cajado.,
339,305,"A materialização é impossível
sem a Silmeria...",
339,302,Realizar a materialização?,not displayed by the event script
339,303,Sim,not displayed by the event script
339,304,Não,not displayed by the event script
339,306,Palácio do Dragão Venerado,not displayed by the event script
339,392,,
339,393,,
339,394,,
339,436,,
339,470,,
339,473,,
